timestamp,Temp [°C],Wind [m/s],Wind Power [MWh],Wind Power Capacity [MWh],Price [c/kWh]
20230524T190000Z,19.6,3.8,1400.7,5700.0,0.0
20230524T200000Z,18.4,4.1,1268.3,5700.0,-0.012
20230524T210000Z,16.7,3.2,1015.4,5700.0,-0.205
20230524T220000Z,15.7,3.6,1012.3,5700.0,-0.307
20230524T230000Z,15.1,3.5,823.79999,5700.0,-0.33
20230525T000000Z,14.6,3.1,808.29999,5700.0,-0.329
20230525T010000Z,14.6,4.1,957.1,5700.0,-0.34
20230525T020000Z,13.8,3.5,1144.59999,5700.0,-0.329
20230525T030000Z,13.1,2.5,1063.2,5700.0,-0.21
20230525T040000Z,12.2,2.9,949.29999,5700.0,-0.005
20230525T050000Z,12,2.9,1052.2,5700.0,3.018
20230525T060000Z,12.2,2.4,1177.2,5700.0,1.404
20230525T070000Z,13.3,3.8,1379.09999,5700.0,0.956
20230525T080000Z,12.8,4.4,1622.7,5700.0,0.355
20230525T090000Z,12.5,2.9,1872.09999,5700.0,0.0
20230525T100000Z,14.7,4,1703.4,5700.0,-0.077
20230525T110000Z,15.6,5.7,2127.69999,5700.0,-0.191
20230525T120000Z,15.7,5.9,2508.0,5700.0,-0.204
20230525T130000Z,15.4,6.7,2670.19999,5700.0,-0.248
20230525T140000Z,14.1,7,2598.3,5700.0,-0.206
20230525T150000Z,13.6,6.7,2442.3,5700.0,-0.109
20230525T160000Z,13,5.7,2254.9,5700.0,-0.015
20230525T170000Z,12.3,4.7,2649.19999,5700.0,0.011
20230525T180000Z,11.4,3.5,2266.59999,5700.0,0.143
20230525T190000Z,10.3,3,2342.69999,5700.0,0.185
20230525T200000Z,8.2,2.7,2297.4,5700.0,0.134
20230525T210000Z,6.8,2.9,1971.09999,5700.0,-0.005
20230525T220000Z,7.9,3.2,2096.09999,5700.0,0.001
20230525T230000Z,7.9,4.4,1709.4,5700.0,-0.004
20230526T000000Z,7.6,3.9,1683.4,5700.0,-0.008
20230526T010000Z,7.5,2.5,1528.3,5700.0,-0.009
20230526T020000Z,7.7,2.4,1296.59999,5700.0,-0.002
20230526T030000Z,8.1,2.8,1095.5,5700.0,0.136
20230526T040000Z,7,2.5,968.39999,5700.0,0.215
20230526T050000Z,6,2.1,1040.3,5700.0,4.015
20230526T060000Z,5.2,2.4,1134.3,5700.0,5.247
20230526T070000Z,5.4,2.9,1165.5,5700.0,2.868
20230526T080000Z,5.5,2.7,1363.3,5700.0,1.47
20230526T090000Z,5.7,2.7,1652.2,5700.0,0.397
20230526T100000Z,6.1,2.4,1891.7,5700.0,0.211
20230526T110000Z,7.2,1.8,2200.4,5700.0,0.097
20230526T120000Z,8.8,2.7,2312.3,5700.0,0.0
20230526T130000Z,8.9,4.3,2854.5,5700.0,0.007
20230526T140000Z,9.8,3.8,2938.09999,5700.0,0.138
20230526T150000Z,9.3,2.8,2836.69999,5700.0,0.178
20230526T160000Z,10.8,4.6,2588.0,5700.0,0.243
20230526T170000Z,10.4,6.1,2448.0,5700.0,0.321
20230526T180000Z,9.2,4.2,2254.3,5700.0,0.344
20230526T190000Z,8,3.4,2273.0,5700.0,0.397
20230526T200000Z,6.9,3.9,2389.5,5700.0,0.345
20230526T210000Z,6.3,3.9,2557.4,5700.0,0.221
20230526T220000Z,5,3,2495.19999,5700.0,0.162
20230526T230000Z,4.9,2.5,2577.69999,5700.0,0.188
20230527T000000Z,5.9,3.2,2482.69999,5700.0,0.242
20230527T010000Z,6.2,3.6,2199.19999,5700.0,0.306
20230527T020000Z,5.7,2.7,1868.2,5700.0,0.409
20230527T030000Z,6.2,3.9,1312.59999,5700.0,0.663
20230527T040000Z,7,3.7,864.5,5700.0,1.0
20230527T050000Z,7.8,3.5,614.1,5700.0,1.765
20230527T060000Z,8.8,4.1,557.5,5700.0,3.091
20230527T070000Z,9.7,4.6,658.5,5700.0,1.311
20230527T080000Z,10.5,4.8,820.5,5700.0,0.774
20230527T090000Z,11.2,4.1,991.29999,5700.0,0.148
20230527T100000Z,12.1,3.8,1120.59999,5700.0,0.0
20230527T110000Z,12.7,4.1,1170.0,5700.0,-0.231
20230527T120000Z,12.9,4,1356.7,5700.0,-0.195
20230527T130000Z,12.9,3.7,1465.7,5700.0,0.04
20230527T140000Z,13.4,4.5,1329.4,5700.0,0.158
20230527T150000Z,13.3,3.6,1330.59999,5700.0,0.169
20230527T160000Z,13.2,3.6,1470.2,5700.0,0.185
20230527T170000Z,12.5,2.7,1506.8,5700.0,0.14
20230527T180000Z,10.8,1.5,1625.3,5700.0,0.12
20230527T190000Z,7.9,2,2042.5,5700.0,-0.007
20230527T200000Z,8.2,3,2620.9,5700.0,-0.205
20230527T210000Z,8.8,3.6,3248.4,5700.0,-0.347
20230527T220000Z,8.1,3.3,3408.69999,5700.0,-0.342
20230527T230000Z,7.5,3.3,3857.9,5700.0,-0.356
20230528T000000Z,7.3,4.5,4138.5,5700.0,-0.412
20230528T010000Z,7.5,4.9,4262.39999,5700.0,-0.388
20230528T020000Z,8.3,5.1,4195.39999,5700.0,-0.448
20230528T030000Z,9,5.3,4065.59999,5700.0,-0.501
20230528T040000Z,10.5,5.6,3935.69999,5700.0,-0.438
20230528T050000Z,11.7,6.4,3845.69999,5700.0,-0.209
20230528T060000Z,13,7.7,3706.9,5700.0,-0.104
20230528T070000Z,14.1,6.9,3595.09999,5700.0,-0.011
20230528T080000Z,14.8,6.7,3390.69999,5700.0,-0.308
20230528T090000Z,14.9,7.4,3028.3,5700.0,-1.006
20230528T100000Z,13.8,7.6,3081.19999,5700.0,-1.003
20230528T110000Z,13.6,7.5,2481.8,5700.0,-0.991
20230528T120000Z,11.5,6.1,2215.4,5700.0,-1.0
20230528T130000Z,10.5,4.8,1841.2,5700.0,-0.491
20230528T140000Z,10.2,5.2,1553.8,5700.0,-0.504
20230528T150000Z,10.8,5.2,1681.2,5700.0,-0.006
20230528T160000Z,10.7,4.1,1854.3,5700.0,0.312
20230528T170000Z,9.6,3.3,2037.4,5700.0,0.2
20230528T180000Z,9.4,2.9,2156.3,5700.0,0.164
20230528T190000Z,8.5,2.9,2185.09999,5700.0,0.153
20230528T200000Z,7.2,2.4,2495.69999,5700.0,0.131
20230528T210000Z,7.6,3.3,2819.9,5700.0,0.001
20230528T220000Z,6.9,3.1,2660.4,5700.0,-0.013
20230528T230000Z,5.6,2.1,2713.3,5700.0,-0.008
20230529T000000Z,5.2,2.7,2793.3,5700.0,-0.007
20230529T010000Z,5.2,2.9,2709.8,5700.0,-0.002
20230529T020000Z,5.1,2.5,2460.5,5700.0,0.115
20230529T030000Z,5.7,3.1,1912.7,5700.0,0.228
20230529T040000Z,6.5,4,1588.09999,5700.0,0.412
20230529T050000Z,7.2,4.2,1584.3,5700.0,2.707
20230529T060000Z,8.1,5,1455.8,5700.0,2.992
20230529T070000Z,9.1,5.7,1568.5,5700.0,0.403
20230529T080000Z,10,5.1,1732.3,5700.0,0.349
20230529T090000Z,10.9,5.3,1866.0,5700.0,0.23
20230529T100000Z,11.6,5.7,2021.7,5700.0,0.21
20230529T110000Z,12,5.8,2218.19999,5700.0,0.187
20230529T120000Z,12,5.8,2361.3,5700.0,0.163
20230529T130000Z,11.6,6.8,2509.19999,5700.0,0.168
20230529T140000Z,10.7,5.9,2518.19999,5700.0,0.154
20230529T150000Z,9.9,5.4,2436.9,5700.0,0.223
20230529T160000Z,9.1,5.3,2091.3,5700.0,0.795
20230529T170000Z,8.7,4.6,1771.3,5700.0,0.939
20230529T180000Z,8.2,3.9,1553.59999,5700.0,0.983
20230529T190000Z,7.4,3.2,1360.09999,5700.0,0.92
20230529T200000Z,6.4,2.8,1233.7,5700.0,0.798
20230529T210000Z,5.4,2.2,1227.7,5700.0,0.302
20230529T220000Z,5.7,1.4,1217.09999,5700.0,0.857
20230529T230000Z,5.9,2.1,1130.59999,5700.0,0.806
20230530T000000Z,6,1.3,1126.8,5700.0,0.904
20230530T010000Z,5.5,1.4,997.89999,5700.0,0.84
20230530T020000Z,6,1.3,854.0,5700.0,1.168
20230530T030000Z,7,1.7,664.6,5700.0,5.108
20230530T040000Z,7.9,2.3,623.89999,5700.0,7.188
20230530T050000Z,9.1,3.1,666.39999,5700.0,11.796
20230530T060000Z,9.8,3.4,603.5,5700.0,10.864
20230530T070000Z,10.4,3.6,495.8,5700.0,9.006
20230530T080000Z,11.5,3.1,486.8,5700.0,8.237
20230530T090000Z,12.2,3.4,617.29999,5700.0,7.027
20230530T100000Z,12.8,4.4,881.6,5700.0,6.449
20230530T110000Z,13.7,4.7,1003.6,5700.0,5.736
20230530T120000Z,14.3,4.3,1122.8,5700.0,1.963
20230530T130000Z,14.2,4.5,1301.4,5700.0,1.31
20230530T140000Z,14.7,4.6,1485.4,5700.0,1.192
20230530T150000Z,14.5,5,1601.59999,5700.0,0.955
20230530T160000Z,13.7,4.7,1636.7,5700.0,0.98
20230530T170000Z,12.4,4.8,1951.09999,5700.0,0.595
20230530T180000Z,11.1,3.4,2362.69999,5700.0,0.246
20230530T190000Z,9.1,2.4,2842.19999,5700.0,0.173
20230530T200000Z,7.7,2.1,3036.19999,5700.0,0.011
20230530T210000Z,6.8,3,3072.9,5700.0,-0.129
20230530T220000Z,6.9,3,3048.59999,5700.0,-0.37
20230530T230000Z,7,3.5,3123.09999,5700.0,-0.384
20230531T000000Z,6.7,2.7,2929.8,5700.0,-0.379
20230531T010000Z,7.6,4.3,2877.8,5700.0,-0.413
20230531T020000Z,8.1,5,2902.8,5700.0,-0.334
20230531T030000Z,8.9,5.7,2951.3,5700.0,-0.258
20230531T040000Z,9.4,4.4,3049.5,5700.0,-0.014
20230531T050000Z,10.5,4.1,2968.69999,5700.0,0.034
20230531T060000Z,12.2,4.9,3113.5,5700.0,0.117
20230531T070000Z,13.7,6.5,3022.59999,5700.0,0.12
20230531T080000Z,14.4,6.5,3220.0,5700.0,0.098
20230531T090000Z,14.5,6.3,3281.69999,5700.0,0.011
20230531T100000Z,14.9,7.3,3153.9,5700.0,0.01
20230531T110000Z,15,7.5,3110.6,5700.0,-0.002
20230531T120000Z,14.5,6.5,2736.05,5700.0,-0.081
20230531T130000Z,14.3,6.2,2573.85,5700.0,-0.017
20230531T140000Z,14.4,6,2774.95,5700.0,0.0
20230531T150000Z,14.2,5.3,2861.625,5700.0,0.0
20230531T160000Z,13.9,5.6,2820.025,5700.0,0.001
20230531T170000Z,12.6,5.3,3224.125,5700.0,0.0
20230531T180000Z,12,5,3273.975,5700.0,0.0
20230531T190000Z,10.9,5.2,3419.8,5700.0,0.001
20230531T200000Z,9.9,4.2,3713.575,5700.0,0.001
20230531T210000Z,9,4.2,3870.625,5700.0,0.0
20230531T220000Z,8.7,4.8,3680.625,5700.0,0.009
20230531T230000Z,7.9,4.9,3474.225,5700.0,0.006
20230601T000000Z,6.7,4.7,3358.025,5700.0,0.001
20230601T010000Z,6,4.2,3204.825,5700.0,0.008
20230601T020000Z,6,4.5,2924.0,5700.0,0.135
20230601T030000Z,6.5,4.1,2813.025,5700.0,0.207
20230601T040000Z,7,4.8,2572.6,5700.0,0.397
20230601T050000Z,7.1,4.6,2386.4,5700.0,0.745
20230601T060000Z,6.8,4.3,2215.425,5700.0,1.268
20230601T070000Z,7.5,4.7,2203.7,5700.0,0.86
20230601T080000Z,7.5,5.3,2214.2,5700.0,0.787
20230601T090000Z,7.9,5.4,2248.9,5700.0,0.664
20230601T100000Z,7.4,5.5,2419.175,5700.0,0.51
20230601T110000Z,4,4.7,2650.175,5700.0,0.494
20230601T120000Z,5.1,4.6,2731.6,5700.0,0.301
20230601T130000Z,5,4.9,2518.275,5700.0,0.498
20230601T140000Z,7.5,5,2523.425,5700.0,0.497
20230601T150000Z,8,4.4,2416.55,5700.0,0.497
20230601T160000Z,8.3,5.8,2265.725,5700.0,0.587
20230601T170000Z,7.2,7.2,2218.725,5700.0,0.69
20230601T180000Z,6.2,6.3,2177.875,5700.0,0.787
20230601T190000Z,5.1,5.1,2195.45,5700.0,0.942
20230601T200000Z,4.4,4.2,2252.975,5700.0,0.867
20230601T210000Z,4.1,5.2,2441.95,5700.0,0.499
20230601T220000Z,3.3,4.2,2518.375,5700.0,0.202
20230601T230000Z,3.2,5.4,2835.9,5700.0,0.167
20230602T000000Z,2.8,5.1,2913.475,5700.0,0.153
20230602T010000Z,2.8,4.2,2978.2,5700.0,0.156
20230602T020000Z,2.7,2.8,2994.05,5700.0,0.213
20230602T030000Z,3,2.1,3120.1,5700.0,0.374
20230602T040000Z,3.4,3.2,3229.175,5700.0,0.876
20230602T050000Z,4.2,4.2,3152.95,5700.0,1.4
20230602T060000Z,5.3,4.5,3091.475,5700.0,1.65
20230602T070000Z,5.5,5.4,2992.75,5700.0,1.735
20230602T080000Z,6,5.3,3123.85,5700.0,1.754
20230602T090000Z,6.6,5.9,3225.15,5700.0,1.759
20230602T100000Z,6.2,5.6,3235.125,5700.0,1.748
20230602T110000Z,6,4.4,3140.95,5700.0,1.764
20230602T120000Z,7.2,5.8,2995.775,5700.0,1.794
20230602T130000Z,8.2,5.7,2796.65,5700.0,1.921
20230602T140000Z,8.2,5.7,2564.3250000000003,5700.0,2.836
20230602T150000Z,7.9,5,2276.975,5700.0,4.007
20230602T160000Z,8.3,4.5,1977.725,5700.0,5.497
20230602T170000Z,8.2,4.3,1564.375,5700.0,5.693
20230602T180000Z,8.1,3.5,1180.175,5700.0,5.624
20230602T190000Z,6.9,1.8,935.525,5700.0,5.54
20230602T200000Z,5.4,1.9,853.425,5700.0,5.353
20230602T210000Z,5.1,2.5,826.125,5700.0,3.535
20230602T220000Z,4.4,2.5,738.625,5700.0,3.21
20230602T230000Z,3.7,2.2,654.4,5700.0,2.514
20230603T000000Z,3.3,1.8,632.075,5700.0,2.145
20230603T010000Z,1.3,0.8,559.975,5700.0,1.86
20230603T020000Z,2.1,0.7,496.575,5700.0,1.802
20230603T030000Z,4.4,0.6,408.4,5700.0,1.946
20230603T040000Z,5.3,0.6,278.775,5700.0,2.32
20230603T050000Z,6.8,0.5,162.575,5700.0,3.453
20230603T060000Z,8.6,0.8,151.85,5700.0,3.725
20230603T070000Z,9.5,2.4,218.175,5700.0,3.189
20230603T080000Z,11,2.8,320.45,5700.0,2.233
20230603T090000Z,12.4,3.5,474.4500000000001,5700.0,0.623
20230603T100000Z,12.6,4.7,572.0,5700.0,0.259
20230603T110000Z,13.7,6.5,680.625,5700.0,0.222
20230603T120000Z,13.7,6.6,867.625,5700.0,0.178
20230603T130000Z,13.3,6.7,838.575,5700.0,0.161
20230603T140000Z,12.4,6.4,806.225,5700.0,0.538
20230603T150000Z,11,6.2,824.7,5700.0,1.396
20230603T160000Z,9.3,4,823.8,5700.0,1.967
20230603T170000Z,9.3,3.8,881.35,5700.0,1.615
20230603T180000Z,9.1,5.2,849.45,5700.0,1.308
20230603T190000Z,8.6,5.3,790.4250000000001,5700.0,1.151
20230603T200000Z,8.2,4.3,774.125,5700.0,0.994
20230603T210000Z,7.9,5.1,809.275,5700.0,0.887
20230603T220000Z,7.2,4.6,845.45,5700.0,0.719
20230603T230000Z,7.1,3.9,887.175,5700.0,0.722
20230604T000000Z,7.1,2.7,920.1,5700.0,0.737
20230604T010000Z,7.4,3,880.95,5700.0,0.731
20230604T020000Z,7.5,2.8,816.7,5700.0,0.814
20230604T030000Z,7.9,2.9,695.075,5700.0,0.917
20230604T040000Z,8.4,3.4,610.2,5700.0,1.017
20230604T050000Z,9.9,4.3,548.15,5700.0,1.205
20230604T060000Z,10.7,3.8,541.25,5700.0,1.387
20230604T070000Z,11.7,4.3,603.7,5700.0,1.726
20230604T080000Z,12,4.7,719.95,5700.0,0.822
20230604T090000Z,12.3,4.7,929.675,5700.0,0.449
20230604T100000Z,12.9,4.4,1131.05,5700.0,0.406
20230604T110000Z,13,4.6,1315.575,5700.0,0.363
20230604T120000Z,13.4,4.6,1420.9,5700.0,0.305
20230604T130000Z,13.6,5.1,1463.175,5700.0,0.3
20230604T140000Z,13.6,5,1399.8,5700.0,0.501
20230604T150000Z,13.4,4,1314.1,5700.0,1.54
20230604T160000Z,13.5,3.9,1197.65,5700.0,1.549
20230604T170000Z,13.1,3.4,1274.025,5700.0,1.59
20230604T180000Z,12.6,3,1333.975,5700.0,1.318
20230604T190000Z,11.7,3.7,1681.425,5700.0,1.244
20230604T200000Z,10.2,4.1,2331.575,5700.0,0.955
20230604T210000Z,9.5,4.3,2868.175,5700.0,0.655
20230604T220000Z,8.7,4.6,2917.3,5700.0,0.117
20230604T230000Z,7.9,5.1,2947.075,5700.0,0.001
20230605T000000Z,8,5,2934.8250000000003,5700.0,0.0
20230605T010000Z,8.2,3.7,2876.15,5700.0,-0.002
20230605T020000Z,8.1,3.6,2810.0,5700.0,0.0
20230605T030000Z,8.3,4.4,2493.275,5700.0,0.001
20230605T040000Z,9.4,5,2438.45,5700.0,0.257
20230605T050000Z,10.7,5.6,2835.35,5700.0,0.49
20230605T060000Z,11.9,5.5,3094.675,5700.0,0.673
20230605T070000Z,13.3,6.8,3178.7250000000004,5700.0,0.648
20230605T080000Z,14.6,7.7,3222.675,5700.0,0.501
20230605T090000Z,15.5,8.5,3209.525,5700.0,0.502
20230605T100000Z,15.8,8.5,3137.3,5700.0,0.499
20230605T110000Z,15.6,8.3,3106.575,5700.0,0.509
20230605T120000Z,15.2,7.9,2989.925,5700.0,0.511
20230605T130000Z,15.2,7.8,2739.1,5700.0,0.537
20230605T140000Z,15.1,8.2,2533.525,5700.0,0.498
20230605T150000Z,15.2,6.4,2244.325,5700.0,0.538
20230605T160000Z,14.6,6.8,1978.05,5700.0,0.617
20230605T170000Z,14.1,5.9,1998.15,5700.0,0.766
20230605T180000Z,13,4.6,1957.4,5700.0,0.809
20230605T190000Z,12.1,3.7,2041.3,5700.0,0.801
20230605T200000Z,10.9,3.7,2334.25,5700.0,0.421
20230605T210000Z,10,3.5,2930.825,5700.0,-0.001
20230605T220000Z,8.2,3.1,2887.95,5700.0,-0.005
20230605T230000Z,8.4,3.5,2634.15,5700.0,-0.005
20230606T000000Z,7.8,3.4,2502.775,5700.0,0.0
20230606T010000Z,6.2,2.7,2207.825,5700.0,0.259
20230606T020000Z,7,1.1,1667.55,5700.0,0.978
20230606T030000Z,8.4,2.1,971.625,5700.0,1.433
20230606T040000Z,9.6,1.8,510.775,5700.0,1.825
20230606T050000Z,10.2,1.8,268.725,5700.0,2.211
20230606T060000Z,11.1,1.6,218.625,5700.0,2.673
20230606T070000Z,11.9,1.8,252.45,5700.0,2.692
20230606T080000Z,12.7,1.4,303.45,5700.0,2.48
20230606T090000Z,13.2,1.9,342.525,5700.0,2.17
20230606T100000Z,13.6,2.9,369.75,5700.0,2.199
20230606T110000Z,13.2,2.9,394.675,5700.0,1.93
20230606T120000Z,11.4,3.3,434.975,5700.0,1.924
20230606T130000Z,10.3,3.9,419.075,5700.0,1.888
20230606T140000Z,10,3.5,376.1,5700.0,1.934
20230606T150000Z,10.6,2.9,327.975,5700.0,2.179
20230606T160000Z,11.3,3.9,315.55,5700.0,2.493
20230606T170000Z,11.1,4,280.725,5700.0,2.542
20230606T180000Z,10.6,3.4,283.925,5700.0,2.19
20230606T190000Z,9.7,3.9,319.775,5700.0,2.6
20230606T200000Z,8.3,2.6,363.85,5700.0,1.921
20230606T210000Z,7.4,2.2,378.9,5700.0,1.833
20230606T220000Z,5.5,0.8,384.525,5700.0,2.284
20230606T230000Z,5.5,1,382.175,5700.0,2.184
20230607T000000Z,4.8,1.1,356.95,5700.0,2.101
20230607T010000Z,3.1,2.3,329.275,5700.0,2.156
20230607T020000Z,4.7,1.3,277.05,5700.0,2.252
20230607T030000Z,7,0.9,186.175,5700.0,2.647
20230607T040000Z,7.9,1.3,153.325,5700.0,3.402
20230607T050000Z,9.6,1.2,146.2,5700.0,4.092
20230607T060000Z,10.9,2.7,153.55,5700.0,4.865
20230607T070000Z,12.2,4.2,194.025,5700.0,4.092
20230607T080000Z,12.8,4,311.0,5700.0,3.686
20230607T090000Z,13.9,3.7,421.125,5700.0,3.459
20230607T100000Z,14.3,3.7,523.425,5700.0,2.996
20230607T110000Z,14.9,3,620.725,5700.0,2.763
20230607T120000Z,15.9,4.9,733.25,5700.0,2.644
20230607T130000Z,16.3,4.9,699.425,5700.0,2.566
20230607T140000Z,16.1,5.6,673.275,5700.0,2.602
20230607T150000Z,15.6,5,733.075,5700.0,2.629
20230607T160000Z,14.5,5.2,752.2249999999999,5700.0,2.702
20230607T170000Z,13.5,4.4,721.0,5700.0,2.69
20230607T180000Z,12.1,3.6,832.325,5700.0,2.488
20230607T190000Z,10.6,3.7,1083.05,5700.0,2.209
20230607T200000Z,8.9,2.6,1385.5,5700.0,1.937
20230607T210000Z,6.8,1.1,1590.475,5700.0,1.643
20230607T220000Z,4.5,0.6,1723.825,5700.0,1.942
20230607T230000Z,3.2,1,1838.725,5700.0,1.95
20230608T000000Z,2.5,1.3,1945.55,5700.0,1.941
20230608T010000Z,1.9,0.7,1766.225,5700.0,1.927
20230608T020000Z,3.6,1,1492.575,5700.0,1.943
20230608T030000Z,6.3,1.4,1061.35,5700.0,1.983
20230608T040000Z,6.6,1.9,781.325,5700.0,2.501
20230608T050000Z,6.8,1.5,582.9,5700.0,2.811
20230608T060000Z,7.2,1.8,522.875,5700.0,2.953
20230608T070000Z,7.9,3.2,641.9,5700.0,2.785
20230608T080000Z,8.1,3.3,884.275,5700.0,2.744
20230608T090000Z,8.8,3.3,1171.65,5708.0,2.638
20230608T100000Z,9.3,3.5,1589.2,5772.0,2.662
20230608T110000Z,10.5,2.8,2080.425,5772.0,2.593
20230608T120000Z,12,3.6,2489.05,5772.0,2.525
20230608T130000Z,13,3.8,2743.875,5772.0,2.526
20230608T140000Z,13,4,2706.65,5772.0,2.523
20230608T150000Z,13.1,4.2,2512.3,5772.0,2.573
20230608T160000Z,13,4.3,2568.425,5772.0,2.67
20230608T170000Z,12.4,4.3,2562.3,5772.0,2.697
20230608T180000Z,11.5,2.9,2608.725,5772.0,2.649
20230608T190000Z,10.4,2.2,2676.5,5772.0,2.612
20230608T200000Z,9,1.5,2728.1000000000004,5772.0,2.398
20230608T210000Z,8.1,1.7,2767.875,5772.0,1.516
20230608T220000Z,7.1,1.7,2776.85,5772.0,0.044
20230608T230000Z,6.6,1.4,2800.225,5772.0,0.082
20230609T000000Z,5.5,1.6,2845.325,5772.0,0.124
20230609T010000Z,5,1.7,2727.35,5772.0,1.142
20230609T020000Z,5.7,1.7,2432.0,5772.0,2.5
20230609T030000Z,6.7,2.3,1849.625,5772.0,3.219
20230609T040000Z,8,2.9,1188.5,5772.0,3.964
20230609T050000Z,9.8,2.9,1015.275,5772.0,4.327
20230609T060000Z,11.3,4.3,1224.45,5772.0,4.462
20230609T070000Z,12.1,5.1,1595.625,5772.0,4.241
20230609T080000Z,12.5,5,1854.175,5772.0,4.147
20230609T090000Z,12.7,5.7,2020.85,5772.0,4.048
20230609T100000Z,13.2,5.2,1908.8,5772.0,3.884
20230609T110000Z,13.8,4.8,1778.225,5772.0,3.389
20230609T120000Z,14.3,4.3,1589.9,5772.0,3.173
20230609T130000Z,14.4,3.5,1335.35,5772.0,3.192
20230609T140000Z,14.5,3.3,1089.875,5772.0,3.448
20230609T150000Z,14.2,3,873.9,5772.0,3.913
20230609T160000Z,14.4,3.2,718.0,5772.0,4.128
20230609T170000Z,14,3,561.0,5772.0,4.165
20230609T180000Z,13.1,2.2,449.45,5772.0,3.902
20230609T190000Z,12,1.5,467.55,5772.0,3.351
20230609T200000Z,8.2,1.2,523.25,5772.0,2.969
20230609T210000Z,5,0.7,654.1999999999999,5772.0,2.458
20230609T220000Z,4.1,0.3,733.05,5772.0,2.076
20230609T230000Z,3,0.5,703.2750000000001,5772.0,2.029
20230610T000000Z,2.2,0.5,640.75,5772.0,2.004
20230610T010000Z,1.5,0.4,709.525,5772.0,2.008
20230610T020000Z,2.3,0.7,593.05,5772.0,2.043
20230610T030000Z,7.1,0.9,392.275,5772.0,2.095
20230610T040000Z,9.5,1.2,197.15,5772.0,2.669
20230610T050000Z,11.4,0.9,98.075,5772.0,3.614
20230610T060000Z,12.9,1.1,110.975,5772.0,3.991
20230610T070000Z,13.5,1.9,147.675,5772.0,3.953
20230610T080000Z,14.2,1.6,190.05,5772.0,2.561
20230610T090000Z,15.3,2.6,268.35,5772.0,1.291
20230610T100000Z,16,2.5,327.325,5772.0,0.456
20230610T110000Z,16.5,2.1,383.4,5772.0,1.332
20230610T120000Z,17.1,2,445.15,5772.0,0.857
20230610T130000Z,17.9,1.6,484.225,5772.0,1.035
20230610T140000Z,18.1,2.5,517.025,5772.0,1.365
20230610T150000Z,18.3,2.1,555.05,5772.0,3.339
20230610T160000Z,18.4,1.3,551.0,5772.0,4.239
20230610T170000Z,18,1.2,578.375,5772.0,4.285
20230610T180000Z,15.9,0.8,689.125,5772.0,4.153
20230610T190000Z,11.9,0.6,872.45,5772.0,3.499
20230610T200000Z,10.3,1.3,1134.9,5772.0,2.404
20230610T210000Z,7.8,1,1491.075,5772.0,1.753
20230610T220000Z,6,0.6,1936.975,5772.0,1.093
20230610T230000Z,5.7,1.2,2409.625,5772.0,0.042
20230611T000000Z,5.1,0.7,2869.45,5772.0,0.0
20230611T010000Z,4,0.9,2815.775,5772.0,-0.002
20230611T020000Z,5.4,0.9,2641.6,5772.0,-0.003
20230611T030000Z,9.1,1.5,2875.825,5772.0,0.0
20230611T040000Z,11.5,2.7,2460.275,5772.0,0.008
20230611T050000Z,13.3,3.4,1629.675,5772.0,2.047
20230611T060000Z,15.3,4.8,1505.825,5772.0,2.844
20230611T070000Z,16.7,5.2,1480.5,5772.0,1.59
20230611T080000Z,17.7,5,1619.15,5772.0,0.001
20230611T090000Z,18.2,4.9,1561.1,5772.0,-0.168
20230611T100000Z,18.8,4.3,1738.375,5772.0,-0.346
20230611T110000Z,19.5,4.2,2076.6,5772.0,-0.506
20230611T120000Z,20.2,3.4,2225.75,5772.0,-0.509
20230611T130000Z,20.4,3.3,2278.675,5772.0,-0.524
20230611T140000Z,20.7,3.5,2235.725,5772.0,-0.01
20230611T150000Z,20.6,3.6,2710.775,5772.0,0.218
20230611T160000Z,20.4,2.9,3012.1,5772.0,1.905
20230611T170000Z,19.9,3.4,3114.975,5772.0,0.45
20230611T180000Z,18.6,2.9,3142.175,5772.0,0.001
20230611T190000Z,16,1.7,3073.975,5772.0,0.001
20230611T200000Z,12.1,1.9,3358.1,5772.0,0.0
20230611T210000Z,9.9,0.9,3185.35,5772.0,-0.013
20230611T220000Z,8.4,0.5,3201.55,5772.0,-0.507
20230611T230000Z,7,0.6,3158.425,5772.0,-1.1
20230612T000000Z,5.5,0.5,3066.0,5772.0,-1.604
20230612T010000Z,4.9,0.6,2876.45,5772.0,-0.557
20230612T020000Z,6.6,0.6,2659.25,5772.0,-0.019
20230612T030000Z,10.3,1.5,2487.425,5772.0,1.0
20230612T040000Z,12.4,2.8,2101.85,5772.0,4.119
20230612T050000Z,14.2,4.1,1474.825,5772.0,4.41
20230612T060000Z,15.7,4.9,1333.975,5772.0,4.656
20230612T070000Z,16.8,4.6,1347.875,5772.0,4.491
20230612T080000Z,17.9,4.2,1544.425,5772.0,4.238
20230612T090000Z,18.9,4.5,1856.925,5772.0,4.044
20230612T100000Z,19.8,3.6,2284.9750000000004,5772.0,3.927
20230612T110000Z,20.7,4.2,2739.05,5772.0,3.583
20230612T120000Z,21.3,3.9,2986.025,5772.0,3.085
20230612T130000Z,21.8,4.5,3193.4,5772.0,2.559
20230612T140000Z,22,5.1,3252.525,5772.0,0.992
20230612T150000Z,21.8,4.7,3244.25,5772.0,0.701
20230612T160000Z,21.3,4.3,3054.55,5772.0,2.774
